query_1;2
query_2;1
query_3;1
query_4;3
query_5;3
query_6;1
query_7;1
query_8;3
query_9;3
query_10;1
query_11;2
query_12;2
query_13;1
query_14;1
query_15;2
query_16;1
query_17;3
query_18;2
query_19;3
query_20;1
query_21;1
query_22;3
query_23;2
query_24;3
query_25;1
query_26;1
query_27;1
query_28;3
query_29;1
query_30;2
query_31;1
query_32;2
query_33;2
query_34;1
query_35;1
query_36;1
query_37;3
query_38;1
query_39;3
query_40;2
query_41;1
query_42;2
query_43;1
query_44;1
query_45;1
query_46;1
query_47;1
query_48;2
query_49;1
query_50;2
query_51;2
query_52;3
query_53;1
query_54;1
query_55;1
query_56;3
query_57;1
query_58;1
query_59;1
query_60;2
query_61;1
query_62;3
query_63;1
